[Header],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDGROUP, DC,2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDGROUP, AC,2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARTUPGROUP, All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3864040552,9.999990463,25.43466568,3.59E-05,4.71E-08,1,5,14.00089645,5.000112627,35.95000133,0.046821272,0.006999201,10,-5.47E-08,,,,,,,,,,,,,,,,,,,,,9.999990463,9.999990463,25.43466568,25.43466568,49.65803227,5.760684767,5.161449432,70,1,0,0,1,0.317840576,31.2805481,1,1,1,9.999990463,0,9.999990463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040556,10.29055309,25.43466568,3.59E-05,3.45E-08,1,5,14.00089645,5.000054508,35.95000133,0.046822426,0.007036201,10,-2.71E-08,,,,,,,,,,,,,,,,,,,,,10.05736923,10.52373695,25.43466568,25.43466568,49.68265357,5.761051258,5.213973045,70,1,0,0,1,0.31539917,31.76930618,6,1,1,10.52373695,0,10.29055309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040588,15.01801777,25.43466568,3.38E-05,3.01E-08,1,5,14.00089645,4.999689249,35.95000133,0.044066691,0.006610528,10,-3.42E-08,,,,,,,,,,,,,,,,,,,,,15.01801777,15.01801777,25.43466568,25.43466568,49.70844731,5.763765203,5.56253767,70,1,0,0,1,0.315628052,31.76930618,6,1,1,15.01801777,0,15.01801777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040630,21.60084343,25.43466568,2.93E-05,5.46E-08,1,5,14.00089645,4.999670646,35.95000133,0.038243712,0.005645008,1,-9.86E-08,,,,,,,,,,,,,,,,,,,,,21.60084343,21.60084343,25.43466568,25.43466568,49.70610242,5.763720814,5.92102623,70,1,0,0,1,0.314407349,31.76930618,2,1,1,21.60084343,0,21.60084343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040652,25.03263092,25.43466568,2.77E-05,5.98E-08,1,5,14.00089645,4.999417646,35.95000133,0.03615736,0.005335724,1,-9.42E-08,,,,,,,,,,,,,,,,,,,,,25.03263092,25.03263092,25.43466568,25.43466568,49.667021,5.763780735,6.072947502,70,1,0,0,1,0.318145752,31.2805481,2,1,1,25.03263092,0,25.03263092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
